Month,Year,Rain
1,1984,259.3
2,1984,32.5
3,1984,54
4,1984,96.8
5,1984,113
6,1984,0.1
7,1984,26.7
8,1984,110.6
9,1984,162.5
10,1984,31.1
11,1984,140
12,1984,139.6
1,1985,190.1
2,1985,281.4
3,1985,166.9
4,1985,31.4
5,1985,107.2
6,1985,14.2
7,1985,0.6
8,1985,21.6
9,1985,110.1
10,1985,11.2
11,1985,86
12,1985,176.3
1,1986,250.7
2,1986,268.4
3,1986,230.6
4,1986,84.9
5,1986,84.6
6,1986,2.4
7,1986,28.1
8,1986,97.2
9,1986,34.7
10,1986,43.9
11,1986,155.6
12,1986,383.2
1,1987,442.3
2,1987,177.5
3,1987,178.5
4,1987,91.5
5,1987,241.2
6,1987,195.9
7,1987,10.7
8,1987,17.4
9,1987,59.2
10,1987,89.9
11,1987,96.1
12,1987,146.3
1,1988,293.4
2,1988,284.7
3,1988,203.6
4,1988,173.4
5,1988,210.8
6,1988,58.8
7,1988,2.2
8,1988,2.6
9,1988,34.7
10,1988,170.1
11,1988,85.7
12,1988,279.6
1,1989,359.2
2,1989,326.5
3,1989,185.1
4,1989,96.2
5,1989,30.4
6,1989,44.4
7,1989,144.7
8,1989,32.3
9,1989,82.2
10,1989,65.4
11,1989,82.4
12,1989,121.7
1,1990,280.7
2,1990,152.8
3,1990,228.8
4,1990,77.1
5,1990,52.8
6,1990,39.2
7,1990,121
8,1990,49.6
9,1990,96.1
10,1990,117.6
11,1990,76
12,1990,124.7
1,1991,270.7
2,1991,358
3,1991,451.3
4,1991,169
5,1991,34.2
6,1991,85.8
7,1991,26.2
8,1991,39.3
9,1991,65.6
10,1991,153.9
11,1991,48
12,1991,220.6
1,1992,203.4
2,1992,184
3,1992,273.7
4,1992,59.3
5,1992,71.4
6,1992,18.6
7,1992,39.1
8,1992,25.8
9,1992,180.6
10,1992,177.5
11,1992,213.8
12,1992,201
1,1993,248.7
2,1993,265.6
3,1993,92.5
4,1993,118.4
5,1993,101.2
6,1993,57.5
7,1993,15.2
8,1993,52.1
9,1993,206.7
10,1993,148.5
11,1993,96.2
12,1993,180.3
1,1994,231.9
2,1994,170.8
3,1994,252.3
4,1994,99.9
5,1994,40.7
6,1994,31.9
7,1994,26.1
8,1994,3.1
9,1994,1.3
10,1994,126.8
11,1994,122.8
12,1994,311.1
1,1995,379
2,1995,445.5
3,1995,304.1
4,1995,64.9
5,1995,74.4
6,1995,58.7
7,1995,47.1
8,1995,16.7
9,1995,41.5
10,1995,229.9
11,1995,97.7
12,1995,202
1,1996,354.9
2,1996,305.6
3,1996,396.8
4,1996,81.7
5,1996,33.1
6,1996,54.1
7,1996,7.2
8,1996,31.6
9,1996,178.9
10,1996,154
11,1996,93.9
12,1996,331.4
1,1997,313.3
2,1997,181.1
3,1997,76
4,1997,71.6
5,1997,75
6,1997,122.5
7,1997,10
8,1997,22.3
9,1997,140.9
10,1997,96.1
11,1997,220.1
12,1997,255.4
1,1998,200.6
2,1998,394.2
3,1998,252.9
