Month,Year,Rain
4,1998,92.8
5,1998,130
6,1998,16.1
7,1998,10.1
8,1998,42.5
9,1998,95
10,1998,216.4
11,1998,38.6
12,1998,241.2
1,1999,319.1
2,1999,369.8
3,1999,187.3
4,1999,35.8
5,1999,35.5
6,1999,84.3
7,1999,25.6
8,1999,1.4
9,1999,80.1
10,1999,62
11,1999,101.4
12,1999,74.6
1,2000,328.3
2,2000,246.6
3,2000,100.1
4,2000,6.3
5,2000,9.3
6,2000,12.2
7,2000,65.6
8,2000,86.3
9,2000,111.1
10,2000,59
11,2000,186
12,2000,249.7
1,2001,144.2
2,2001,290.1
3,2001,138.5
4,2001,32.9
5,2001,86.1
6,2001,24.5
7,2001,41
8,2001,32.8
9,2001,88.5
10,2001,204.3
11,2001,185.2
12,2001,187
1,2002,284.8
2,2002,172.5
3,2002,326.5
4,2002,53.5
5,2002,93
6,2002,1.3
7,2002,22.9
8,2002,46.4
9,2002,54.8
10,2002,124.9
11,2002,226.5
12,2002,235.3
1,2003,317.2
2,2003,109.4
3,2003,126.5
4,2003,45.6
5,2003,33.1
6,2003,16
7,2003,19
8,2003,25.3
9,2003,34.5
10,2003,126.7
11,2003,99.3
12,2003,139.8
1,2004,284.5
2,2004,335.6
3,2004,130.7
4,2004,123.4
5,2004,60.1
6,2004,66.8
7,2004,97.4
8,2004,2.7
9,2004,9.3
10,2004,97.4
11,2004,173.6
12,2004,262.9
1,2005,312.1
2,2005,99.9
3,2005,286.6
4,2005,133.2
5,2005,199
6,2005,30.4
7,2005,13.7
8,2005,9.5
9,2005,138.8
10,2005,172.1
11,2005,106.1
12,2005,228.2
1,2006,348
2,2006,166
3,2006,607.9
4,2006,51.1
5,2006,15
6,2006,24.2
7,2006,71
8,2006,5.8
9,2006,77.7
10,2006,100.4
11,2006,230.7
12,2006,311.5
1,2007,213.5
2,2007,285.9
3,2007,185.4
4,2007,124.8
5,2007,59
6,2007,30.7
7,2007,148.3
8,2007,0
9,2007,15.7
10,2007,109.3
11,2007,219.9
12,2007,230.9
1,2008,318.5
2,2008,236.3
3,2008,180.8
4,2008,96.6
5,2008,80.3
6,2008,78.2
7,2008,0
8,2008,78.5
9,2008,43.9
10,2008,161.4
11,2008,165.1
12,2008,220.2
1,2009,351.8
2,2009,200.2
3,2009,125.7
4,2009,69.6
5,2009,50
6,2009,49.8
7,2009,179.7
8,2009,102.8
9,2009,192.2
10,2009,154.5
11,2009,177.3
12,2009,363.7
1,2010,480.5
2,2010,296.5
3,2010,184.5
4,2010,124.5
5,2010,65.2
6,2010,13.1
7,2010,93.5
8,2010,0.4
9,2010,104.8
10,2010,70.1
11,2010,109.6
12,2010,343.1
1,2011,493.7
2,2011,311.5
3,2011,164
4,2011,133
5,2011,30.4
6,2011,81.6
7,2011,4.5
8,2011,46.3
9,2011,7.4
10,2011,149.6
11,2011,141.3
12,2011,136.8
1,2012,332.6
2,2012,224.2
3,2012,187.6
4,2012,155.9
5,2012,82.7
6,2012,233.7
7,2012,74.7
8,2012,0.3
9,2012,19.2
10,2012,128.3
11,2012,91.6
12,2012,401.9
1,2013,169.2
2,2013,278
3,2013,174.5
4,2013,70.7
5,2013,42.5
6,2013,143.2
7,2013,90.9
8,2013,7.7
9,2013,81.3
10,2013,126.6
11,2013,123.6
12,2013,83.1
1,2014,237.9
2,2014,197.6
3,2014,226.9
4,2014,79.7
5,2014,46
6,2014,9.7
7,2014,21.4
8,2014,29.6
9,2014,58.7
10,2014,25.2
11,2014,117.5
12,2014,203.1
1,2015,156.2
2,2015,273
3,2015,332.7
4,2015,108.1
5,2015,50.7
6,2015,20.3
7,2015,65.1
8,2015,31.6
9,2015,201.7
10,2015,92.1
11,2015,247.2
12,2015,318.1
1,2016,175.9
2,2016,275.1
3,2016,256.6
4,2016,2.4
5,2016,105.7
6,2016,206.8
7,2016,6.4
8,2016,82.4
9,2016,22.2
10,2016,104.1
11,2016,166.8
12,2016,165.4
1,2017,454
2,2017,127.3
3,2017,160.4
4,2017,143.1
5,2017,153.4
6,2017,102.9
7,2017,0.8
8,2017,60.5
9,2017,11.1
10,2017,149.4
11,2017,159.8
12,2017,151.3
