geonameid,asciiname,latitude,longitude,country_code,population,timezone
80509,Bardiyah,31.75615,25.08653,LY,9149,Africa/Tripoli
81302,Tobruk,32.08361,23.97639,LY,121052,Africa/Tripoli
81604,Suluq,31.66818,20.25205,LY,15543,Africa/Tripoli
86049,Gialo,29.03333,21.55,LY,3334,Africa/Tripoli
87205,Darnah,32.76704,22.63669,LY,78782,Africa/Tripoli
88319,Benghazi,32.11486,20.06859,LY,650629,Africa/Tripoli
88380,Az Zuwaytinah,30.9522,20.12022,LY,21015,Africa/Tripoli
88533,Awjilah,29.10806,21.28694,LY,6610,Africa/Tripoli
88562,At Taj,24.20487,23.2857,LY,46050,Africa/Tripoli
88834,Tukrah,32.53414,20.57911,LY,23164,Africa/Tripoli
88835,Al Qubbah,32.76163,22.24237,LY,24631,Africa/Tripoli
88903,Al Marj,32.48798,20.83174,LY,85315,Africa/Tripoli
88962,Al Jawf,24.1989,23.29093,LY,17320,Africa/Tripoli
88967,Al Jaghbub,29.74262,24.51676,LY,2768,Africa/Tripoli
89055,Al Bayda',32.76272,21.75506,LY,74594,Africa/Tripoli
89087,Al Abyar,32.19,20.59653,LY,32563,Africa/Tripoli
89113,Ajdabiya,30.75545,20.22625,LY,134358,Africa/Tripoli
89570,Zaxo,37.14871,42.68591,IQ,95052,Asia/Baghdad
89824,Umm Qasr,30.0362,47.91951,IQ,107620,Asia/Baghdad
90026,Tozkhurmato,34.88808,44.63256,IQ,59886,Asia/Baghdad
90150,Tikrit,34.61581,43.67861,IQ,42477,Asia/Baghdad
90353,Tallkayf,36.49109,43.12026,IQ,23524,Asia/Baghdad
90708,Sinah,36.80752,43.03831,IQ,128776,Asia/Baghdad
91597,Samarra',34.1959,43.88568,IQ,158508,Asia/Baghdad
91812,Nahiyat Saddat al Hindiyah,32.71557,44.27857,IQ,30622,Asia/Baghdad
92002,Ruwandiz,36.61207,44.52372,IQ,22943,Asia/Baghdad
92004,Rawah,34.48229,41.91898,IQ,13000,Asia/Baghdad
92430,Al-Hamdaniya,36.27093,43.37758,IQ,50000,Asia/Baghdad
93709,Mandali,33.7481,45.55503,IQ,29785,Asia/Baghdad
94220,Koysinceq,36.08289,44.62873,IQ,44987,Asia/Baghdad
94298,Kifri,34.68963,44.96057,IQ,30143,Asia/Baghdad
94787,Kirkuk,35.46806,44.39222,IQ,601433,Asia/Baghdad
94824,Karbala,32.61603,44.02488,IQ,434450,Asia/Baghdad
95446,Erbil,36.19257,44.01062,IQ,932800,Asia/Baghdad
