Temperature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
High,15.3,16.0,16.0,19.1,24.8,30.1,26.3,25.2,24.9,19.3,21.6,15.9,30.1
Low,-66.1,-63.3,-64.8,-57.3,-49.0,-37.5,-33.0,-39.2,-46.0,-55.4,-60.0,-69.6,-69.6
