Continent,2020,2040,2060,2080,2100
Africa,1364276,2095653,2821497,3424701,3813884
Asia,4671400,5174593,5266840,5022367,4612668
Europe,749925,722102,676160,626433,592251
Americas,1021973,1129586,1158433,1135970,1080161
Oceania,43841,53532,61373,67673,72946
