city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
San Francisco,103.1,74.9,78.0,32.8,6.4,3.8,1.0,1.8,6.6,32.0,81.5,78.7
Recife,108.2,148.2,256.9,337.6,318.5,377.9,388.1,204.8,122.0,63.0,35.7,56.8
Hong Kong,33.2,38.9,75.3,153.0,290.6,491.5,385.8,453.2,321.4,120.3,39.3,28.8
Cairo,4.8,4.1,5.7,1.1,0.4,0.1,0.0,0.0,0.0,0.4,3.7,4.5
London,55.2,40.9,41.6,43.7,49.4,45.1,44.5,49.5,49.1,68.5,59.0,55.2
Mawsynram,19,25,198,490,1436,3162,3300,2330,1050,331,48,4
Olsobip,878.3,804.0,1044.9,1038.6,1009.3,946.9,785.7,792.2,866.5,868.4,674.8,829.8
