geonameid,asciiname,latitude,longitude,country_code,population,timezone
149512,Tinde,-3.88333,33.2,TZ,22082,Africa/Dar_es_Salaam
149581,Tarime,-1.35,34.36667,TZ,33094,Africa/Dar_es_Salaam
149606,Tanga,-5.06893,39.09875,TZ,224876,Africa/Dar_es_Salaam
149658,Tabora,-5.01622,32.82663,TZ,145292,Africa/Dar_es_Salaam
149703,Sumbawanga,-7.96667,31.61667,TZ,89161,Africa/Dar_es_Salaam
149768,Soni,-4.85,38.36667,TZ,12402,Africa/Dar_es_Salaam
149775,Songwa,-3.51667,33.51667,TZ,23618,Africa/Dar_es_Salaam
149792,Somanda,-3.36667,33.95,TZ,33932,Africa/Dar_es_Salaam
149812,Sokoni,-6.43333,39.55,TZ,25821,Africa/Dar_es_Salaam
149854,Sirari,-1.25367,34.47596,TZ,24317,Africa/Dar_es_Salaam
149879,Singida,-4.81629,34.74358,TZ,62432,Africa/Dar_es_Salaam
149929,Sikonge,-5.63333,32.76667,TZ,27113,Africa/Dar_es_Salaam
150006,Shinyanga,-3.66393,33.42118,TZ,107362,Africa/Dar_es_Salaam
150037,Shelui,-4.36667,34.2,TZ,24817,Africa/Dar_es_Salaam
150099,Sepuka,-4.75,34.53333,TZ,25657,Africa/Dar_es_Salaam
150276,Same,-4.06667,37.73333,TZ,17455,Africa/Dar_es_Salaam
150436,Rulenge,-2.7175,30.6325,TZ,22069,Africa/Dar_es_Salaam
150453,Rujewa,-8.7,34.38333,TZ,29228,Africa/Dar_es_Salaam
150634,Puma,-5,34.73333,TZ,17092,Africa/Dar_es_Salaam
150689,Poli,-3.33333,36.8,TZ,9568,Africa/Dar_es_Salaam
150793,Pangani,-5.42526,38.97473,TZ,8343,Africa/Dar_es_Salaam
150885,Old Shinyanga,-3.55,33.4,TZ,23747,Africa/Dar_es_Salaam
150930,Nzega,-4.21667,33.18333,TZ,26584,Africa/Dar_es_Salaam
151062,Nyanguge,-2.55,33.2,TZ,10746,Africa/Dar_es_Salaam
151108,Nyamuswa,-1.9,34.01667,TZ,16507,Africa/Dar_es_Salaam
151211,Nyalikungu,-3.18333,33.78333,TZ,24648,Africa/Dar_es_Salaam
151262,Nyakahanga,-1.60333,31.14139,TZ,14611,Africa/Dar_es_Salaam
151266,Nyakabindi,-2.63333,33.98333,TZ,18428,Africa/Dar_es_Salaam
151363,Nsunga,-1.14389,31.39472,TZ,20049,Africa/Dar_es_Salaam
151373,Nshamba,-1.79833,31.55111,TZ,19815,Africa/Dar_es_Salaam
151424,Nkove,-7.95,30.85,TZ,5389,Africa/Dar_es_Salaam
151445,Nkoaranga,-3.33333,36.8,TZ,14738,Africa/Dar_es_Salaam
151479,Njombe,-9.33333,34.76667,TZ,46724,Africa/Dar_es_Salaam
151567,Nguruka,-5.10917,31.04194,TZ,39135,Africa/Dar_es_Salaam
151599,Ngudu,-2.96667,33.33333,TZ,22658,Africa/Dar_es_Salaam
151610,Ngorongoro,-3.23973,35.48747,TZ,10836,Africa/Dar_es_Salaam
151678,Ngerengere,-6.75,38.11667,TZ,17181,Africa/Dar_es_Salaam
151711,Ngara,-2.51222,30.65583,TZ,16890,Africa/Dar_es_Salaam
151720,Nganane,-6.4,39.55,TZ,1929,Africa/Dar_es_Salaam
151775,Ndungu,-4.36667,38.05,TZ,14545,Africa/Dar_es_Salaam
151872,Ndago,-4.6,34.35,TZ,13012,Africa/Dar_es_Salaam
151920,Nansio,-2.13333,33.05,TZ,6437,Africa/Dar_es_Salaam
151929,Nangwa,-4.46667,35.45,TZ,18595,Africa/Dar_es_Salaam
151986,Namanyere,-7.51667,31.05,TZ,28218,Africa/Dar_es_Salaam
151988,Namanga,-2.55116,36.78377,TZ,12048,Africa/Dar_es_Salaam
152009,Nakatunguru,-2.11667,33.06667,TZ,6064,Africa/Dar_es_Salaam
152042,Naberera,-4.2,36.93333,TZ,13499,Africa/Dar_es_Salaam
152169,Mwembe,-4.15,37.85,TZ,9032,Africa/Dar_es_Salaam
152183,Mwaya,-9.55,33.95,TZ,7558,Africa/Dar_es_Salaam
152224,Mwanza,-2.51667,32.9,TZ,436801,Africa/Dar_es_Salaam
152265,Mwanga,-4.8,38.2,TZ,12846,Africa/Dar_es_Salaam
152376,Mwadui,-3.55,33.6,TZ,23296,Africa/Dar_es_Salaam
152403,Mvomero,-6.25,38.66667,TZ,31324,Africa/Dar_es_Salaam
152451,Musoma,-1.5,33.8,TZ,121119,Africa/Dar_es_Salaam
152497,Muriti,-1.98333,32.91667,TZ,20254,Africa/Dar_es_Salaam
152546,Mungaa,-4.96667,34.88333,TZ,16715,Africa/Dar_es_Salaam
152570,Muleba,-1.83972,31.65444,TZ,11555,Africa/Dar_es_Salaam
152632,Muheza,-5.16667,38.78333,TZ,17000,Africa/Dar_es_Salaam
152663,Mugumu,-1.85,34.7,TZ,18431,Africa/Dar_es_Salaam
152689,Mugango,-1.68333,33.7,TZ,10550,Africa/Dar_es_Salaam
152718,Mtwango,-9.01667,34.8,TZ,19040,Africa/Dar_es_Salaam
152743,Mto wa Mbu,-3.35,35.85,TZ,17754,Africa/Dar_es_Salaam
152781,Mtinko,-4.55,34.85,TZ,26725,Africa/Dar_es_Salaam
152793,Mtimbira,-8.78333,36.35,TZ,11122,Africa/Dar_es_Salaam
152877,Mtambile,-5.38333,39.7,TZ,6797,Africa/Dar_es_Salaam
152933,Msowero,-6.53333,37.2,TZ,17861,Africa/Dar_es_Salaam
153046,Msanga,-6.05,36.03333,TZ,5527,Africa/Dar_es_Salaam
153094,Mpwapwa,-6.35,36.48333,TZ,19806,Africa/Dar_es_Salaam
153176,Mpanda,-6.34379,31.06951,TZ,73338,Africa/Dar_es_Salaam
153209,Moshi,-3.35,37.33333,TZ,156959,Africa/Dar_es_Salaam
153220,Morogoro,-6.82102,37.66122,TZ,250902,Africa/Dar_es_Salaam
153247,Monduli,-3.3,36.45,TZ,5694,Africa/Dar_es_Salaam
153352,Mlowo,-9,32.98333,TZ,18737,Africa/Dar_es_Salaam
153384,Mlimba,-8.8,35.81667,TZ,34970,Africa/Dar_es_Salaam
153408,Mlangali,-9.78333,34.51667,TZ,15168,Africa/Dar_es_Salaam
153412,Mlandizi,-6.7,38.73333,TZ,29394,Africa/Dar_es_Salaam
153423,Mlalo,-4.93333,38.93333,TZ,15576,Africa/Dar_es_Salaam
153482,Mkuranga,-7.11799,39.20782,TZ,28037,Africa/Dar_es_Salaam
153585,Mkokotoni,-5.87506,39.25523,TZ,2572,Africa/Dar_es_Salaam
153709,Mwandiga,-4.83,29.65806,TZ,16822,Africa/Dar_es_Salaam
153759,Misungwi,-2.85,33.08333,TZ,35530,Africa/Dar_es_Salaam
153772,Misasi,-3,33.08333,TZ,14170,Africa/Dar_es_Salaam
153871,Mikumi,-7.40409,36.98309,TZ,16780,Africa/Dar_es_Salaam
153955,Micheweni,-4.96667,39.83333,TZ,9838,Africa/Dar_es_Salaam
154002,Mhango,-3.28333,32.85,TZ,21553,Africa/Dar_es_Salaam
154097,Mgandu,-5.95,34.13333,TZ,23718,Africa/Dar_es_Salaam
154309,Mbumi,-7.90577,39.21047,TZ,4305,Africa/Dar_es_Salaam
154313,Mbulu,-3.85,35.53333,TZ,13430,Africa/Dar_es_Salaam
154321,Mbuguni,-3.56667,36.95,TZ,16442,Africa/Dar_es_Salaam
154380,Mbeya,-8.9,33.45,TZ,291649,Africa/Dar_es_Salaam
154470,Mazinde,-4.8,38.21667,TZ,20534,Africa/Dar_es_Salaam
154566,Matui,-4.8,38.25,TZ,20241,Africa/Dar_es_Salaam
154576,Matonga,-2.38333,34.08333,TZ,11828,Africa/Dar_es_Salaam
154635,Matamba,-8.98333,33.96667,TZ,10642,Africa/Dar_es_Salaam
154638,Matai,-8.3,31.51667,TZ,24070,Africa/Dar_es_Salaam
154648,Maswa,-2.68333,33.98333,TZ,22025,Africa/Dar_es_Salaam
154654,Masumbwe,-3.63333,32.18333,TZ,34780,Africa/Dar_es_Salaam
154666,Masoko,-9.33333,33.75,TZ,12720,Africa/Dar_es_Salaam
154780,Maramba,-5.05,38.61667,TZ,26531,Africa/Dar_es_Salaam
154915,Maneromango,-7.1988,38.78478,TZ,9402,Africa/Dar_es_Salaam
154995,Malya,-2.98333,33.51667,TZ,12627,Africa/Dar_es_Salaam
155016,Malinyi,-8.93333,36.13333,TZ,27041,Africa/Dar_es_Salaam
155052,Malangali,-8.56667,34.85,TZ,7112,Africa/Dar_es_Salaam
155056,Malampaka,-3.13333,33.53333,TZ,16916,Africa/Dar_es_Salaam
155076,Makuyuni,-4.73333,38.1,TZ,15516,Africa/Dar_es_Salaam
155093,Makungu,-8.73333,35.28333,TZ,10291,Africa/Dar_es_Salaam
155101,Makumbako,-8.85,34.83333,TZ,53003,Africa/Dar_es_Salaam
155187,Makanya,-4.36667,37.83333,TZ,9505,Africa/Dar_es_Salaam
155244,Majengo,-5.15,38.98333,TZ,9874,Africa/Dar_es_Salaam
155263,Mahonda,-6.45,39.46667,TZ,5569,Africa/Dar_es_Salaam
155274,Mahenge,-8.68333,36.71667,TZ,7768,Africa/Dar_es_Salaam
155285,Mahanje,-9.93333,35.33333,TZ,15009,Africa/Dar_es_Salaam
155307,Kihangara,-2.58333,33.35,TZ,19082,Africa/Dar_es_Salaam
155310,Magugu,-4.01667,35.76667,TZ,26131,Africa/Dar_es_Salaam
155321,Magomeni,-6.8,39.25,TZ,19086,Africa/Dar_es_Salaam
155322,Magomeni,-5.23333,38.11667,TZ,8944,Africa/Dar_es_Salaam
155334,Magole,-6.37697,37.37373,TZ,18753,Africa/Dar_es_Salaam
155405,Mafinga,-7.25,35.06667,TZ,34958,Africa/Dar_es_Salaam
155514,Mabamba,-3.59833,30.50194,TZ,14140,Africa/Dar_es_Salaam
155515,Mabama,-5.13333,32.53333,TZ,15320,Africa/Dar_es_Salaam
155569,Lushoto,-4.78333,38.28333,TZ,24197,Africa/Dar_es_Salaam
155584,Lupiro,-8.38333,36.66667,TZ,11430,Africa/Dar_es_Salaam
155743,Lugoba,-6.45,38.33333,TZ,16902,Africa/Dar_es_Salaam
155848,Longido,-2.73319,36.69773,TZ,9403,Africa/Dar_es_Salaam
155921,Liwale,-9.76667,37.93333,TZ,19296,Africa/Dar_es_Salaam
156025,Lembeni,-3.78333,37.61667,TZ,16008,Africa/Dar_es_Salaam
156080,Lalago,-3.45,33.95,TZ,22551,Africa/Dar_es_Salaam
156098,Laela,-8.56667,32.05,TZ,19185,Africa/Dar_es_Salaam
156111,Kyela,-9.58333,33.85,TZ,30684,Africa/Dar_es_Salaam
156124,Kyaka,-1.25222,31.42028,TZ,13810,Africa/Dar_es_Salaam
156312,Kwakoa,-3.76667,37.71667,TZ,7514,Africa/Dar_es_Salaam
156493,Kongwa,-6.2,36.41667,TZ,11840,Africa/Dar_es_Salaam
156510,Kondoa,-4.9,35.78333,TZ,23518,Africa/Dar_es_Salaam
156513,Konde,-4.95,39.75,TZ,9530,Africa/Dar_es_Salaam
156588,Koani Ndogo,-6.13333,39.28333,TZ,2311,Africa/Dar_es_Salaam
156589,Koani,-6.13333,39.28333,TZ,2211,Africa/Dar_es_Salaam
156627,Kiwira,-9.17307,33.54152,TZ,21342,Africa/Dar_es_Salaam
156636,Kiwengwa,-5.98957,39.3768,TZ,2429,Africa/Dar_es_Salaam
156918,Kisiwani,-4.13333,37.95,TZ,7126,Africa/Dar_es_Salaam
156963,Kishapu,-3.61667,33.86667,TZ,16371,Africa/Dar_es_Salaam
156974,Kisesa,-3.08333,34.15,TZ,29804,Africa/Dar_es_Salaam
156996,Kisarawe,-6.9,39.06667,TZ,12507,Africa/Dar_es_Salaam
157014,Kisanga,-7.43622,37.70337,TZ,10978,Africa/Dar_es_Salaam
157045,Kirya,-3.91667,37.48333,TZ,3998,Africa/Dar_es_Salaam
157107,Kirando,-7.41667,30.6,TZ,33111,Africa/Dar_es_Salaam
157198,Kiomboi,-4.26667,34.36667,TZ,23519,Africa/Dar_es_Salaam
157247,Kintinku,-5.88333,35.23333,TZ,7906,Africa/Dar_es_Salaam
157268,Kingori,-3.28333,36.98333,TZ,22839,Africa/Dar_es_Salaam
157366,Kimamba,-6.78333,37.13333,TZ,11235,Africa/Dar_es_Salaam
157403,Kilosa,-6.83333,36.98333,TZ,91889,Africa/Dar_es_Salaam
157429,Kilindoni,-7.91446,39.66204,TZ,12409,Africa/Dar_es_Salaam
157448,Kilimatinde,-5.85,34.95,TZ,5975,Africa/Dar_es_Salaam
157632,Kijini,-5.85,39.31667,TZ,3720,Africa/Dar_es_Salaam
157653,Kihurio,-4.46667,38.06667,TZ,8377,Africa/Dar_es_Salaam
157738,Kigoma,-4.87694,29.62667,TZ,164268,Africa/Dar_es_Salaam
157826,Kidodi,-7.60361,37.00438,TZ,35953,Africa/Dar_es_Salaam
157863,Kidatu,-7.69916,36.95722,TZ,37542,Africa/Dar_es_Salaam
157960,Kibondo,-3.58639,30.72028,TZ,28666,Africa/Dar_es_Salaam
157977,Kibiti,-7.72178,38.93749,TZ,30163,Africa/Dar_es_Salaam
158006,Kibaya,-5.3,36.56667,TZ,5028,Africa/Dar_es_Salaam
158016,Kibara,-2.15,33.45,TZ,17211,Africa/Dar_es_Salaam
158024,Kibakwe,-6.71667,36.36667,TZ,19526,Africa/Dar_es_Salaam
158027,Kibaha,-6.76667,38.91667,TZ,23651,Africa/Dar_es_Salaam
158151,Katumba,-9.23333,33.61667,TZ,108558,Africa/Dar_es_Salaam
158160,Katoro,-3.02028,31.89583,TZ,49691,Africa/Dar_es_Salaam
158161,Katoro,-1.39972,31.50028,TZ,11925,Africa/Dar_es_Salaam
158178,Katesh,-4.52483,35.3849,TZ,4943,Africa/Dar_es_Salaam
158179,Katerero,-1.4,31.73333,TZ,18430,Africa/Dar_es_Salaam
158214,Kasulu,-4.57667,30.1025,TZ,37349,Africa/Dar_es_Salaam
158289,Kasamwa,-2.85,32.43333,TZ,27681,Africa/Dar_es_Salaam
158321,Karema,-6.82052,30.43887,TZ,12630,Africa/Dar_es_Salaam
158324,Kiratu,-3.33333,35.66667,TZ,19803,Africa/Dar_es_Salaam
158422,Kandete,-9.15,33.8,TZ,10318,Africa/Dar_es_Salaam
158492,Kamachumu,-1.61861,31.62,TZ,15701,Africa/Dar_es_Salaam
158514,Kaliua,-5.06056,31.79361,TZ,12362,Africa/Dar_es_Salaam
158563,Kakonko,-3.28278,30.96417,TZ,24688,Africa/Dar_es_Salaam
158597,Kahama,-3.83333,32.6,TZ,36014,Africa/Dar_es_Salaam
158684,Kabanga,-2.63861,30.46778,TZ,19421,Africa/Dar_es_Salaam
158825,Izazi,-7.2,35.73333,TZ,18010,Africa/Dar_es_Salaam
158876,Itumba,-9.4,33.18333,TZ,13438,Africa/Dar_es_Salaam
158904,Itigi,-5.7,34.48333,TZ,19711,Africa/Dar_es_Salaam
158974,Issenye,-2,34.33333,TZ,7778,Africa/Dar_es_Salaam
159045,Isaka,-3.9,32.93333,TZ,21094,Africa/Dar_es_Salaam
159071,Iringa,-7.76667,35.7,TZ,111820,Africa/Dar_es_Salaam
159107,Ipinda,-9.48333,33.9,TZ,17775,Africa/Dar_es_Salaam
159134,Inyonga,-6.71667,32.06667,TZ,11790,Africa/Dar_es_Salaam
159179,Ilula,-7.6766,36.03658,TZ,29193,Africa/Dar_es_Salaam
159186,Ilongero,-4.66667,34.86667,TZ,17342,Africa/Dar_es_Salaam
159218,Ilembula,-8.9,34.58333,TZ,18870,Africa/Dar_es_Salaam
159219,Ilembo,-9.25,33.38333,TZ,2607,Africa/Dar_es_Salaam
159242,Ikwiriri,-7.95618,38.97164,TZ,13071,Africa/Dar_es_Salaam
159267,Ikungi,-5.13333,34.76667,TZ,19692,Africa/Dar_es_Salaam
159380,Igurusi,-8.85,33.85,TZ,24895,Africa/Dar_es_Salaam
159382,Igurubi,-4,33.7,TZ,10083,Africa/Dar_es_Salaam
159386,Igunga,-4.28333,33.88333,TZ,35644,Africa/Dar_es_Salaam
159398,Igugunu,-4.56667,34.63333,TZ,22810,Africa/Dar_es_Salaam
159492,Ifakara,-8.13333,36.68333,TZ,49528,Africa/Dar_es_Salaam
159647,Hedaru,-4.5,37.9,TZ,20231,Africa/Dar_es_Salaam
