city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Yakutsk (RU),-38.6,-33.8,-20.1,-4.8,7.5,16.4,19.5,15.2,6.1,-7.8,-27.0,-37.6
Winnipeg (CA),-16.4,-13.2,-5.8,4.4,11.6,17.0,19.7,18.8,12.7,5.0,-4.9,-13.2
Canberra (AU),20.6,20.1,17.6,13.4,9.4,6.7,5.7,7.0,9.8,12.8,15.8,18.8
Manaus (BR),26.1,25.9,26.0,26.2,26.2,26.4,26.5,27.3,27.7,27.7,27.2,26.6
Detroit (US),-3.7,-2.3,2.7,9.4,15.2,20.7,23.0,22.1,17.9,11.2,5.2,-1.2
Athens (GR),10.2,10.9,13.2,16.9,21.8,26.6,29.3,29.3,25.0,20.1,15.5,11.5
Ophir (NZ),14.6,14.3,12.4,8.8,5.2,1.5,0.6,2.7,5.8,8,10.5,13.2
