Year,1,2,3,4,5,6,7,8,9,10,11,12
1943,-.01,.18,-.03,.11,.07,-.05,.09,.01,.06,.23,.20,.24
1944,.36,.24,.26,.20,.19,.16,.18,.19,.28,.26,.11,.04
1945,.10,.01,.06,.20,.06,.01,.04,.26,.20,.19,.07,-.07
1946,.15,.03,.02,.06,-.07,-.21,-.12,-.20,-.07,-.07,-.05,-.31
1947,-.06,-.07,.07,.06,-.01,-.02,-.04,-.07,-.12,.08,.03,-.13
1948,.06,-.14,-.24,-.12,-.01,-.05,-.11,-.11,-.14,-.05,-.12,-.23
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.12,-.14,-.06,-.10,-.18
1950,-.26,-.27,-.07,-.21,-.11,-.05,-.08,-.16,-.11,-.20,-.34,-.21
1951,-.34,-.41,-.20,-.14,.00,-.06,-.01,.06,.05,.08,-.01,.16
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02
1953,.07,.15,.11,.20,.12,.12,.01,.05,.05,.08,-.03,.05
1954,-.24,-.10,-.15,-.14,-.20,-.18,-.19,-.17,-.10,-.02,.08,-.18
1955,.13,-.16,-.32,-.22,-.20,-.13,-.11,.02,-.11,-.05,-.25,-.28
1956,-.13,-.24,-.21,-.28,-.29,-.15,-.09,-.25,-.19,-.23,-.15,-.06
1957,-.09,-.03,-.05,.00,.09,.15,.02,.15,.09,.01,.08,.15
1958,.39,.22,.08,.01,.06,-.09,.05,-.05,-.03,.04,.02,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19
1961,.07,.19,.09,.13,.12,.12,.01,.01,.08,.00,.03,-.16
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.22,.18,.14,.15,-.03
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.29,-.31,-.21,-.29
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08
1966,-.19,-.04,.03,-.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.03
1967,-.08,-.21,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05
1968,-.26,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.15
1969,-.11,-.18,.00,.17,.18,.03,-.05,.04,.08,.09,.12,.24
1970,.08,.22,.06,.05,-.04,-.03,.02,-.10,.12,.03,.02,-.12
1971,-.02,-.15,-.18,-.07,-.05,-.16,-.08,-.01,-.05,-.04,-.07,-.08
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18
1973,.29,.32,.29,.27,.23,.19,.13,.05,.09,.10,.04,-.07
1974,-.10,-.27,-.05,-.12,-.04,-.05,-.03,.10,-.08,-.05,-.08,-.08
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.02,-.11,-.17,-.17
1976,-.03,-.06,-.21,-.07,-.20,-.12,-.10,-.12,-.06,-.24,-.06,.11
1977,.18,.23,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03
1978,.06,.10,.19,.17,.09,-.01,.04,-.14,.06,.03,.13,.08
1979,.08,-.10,.19,.15,.03,.14,.04,.17,.25,.26,.28,.48
1980,.29,.39,.29,.30,.35,.20,.22,.18,.20,.13,.29,.21
1981,.53,.42,.48,.32,.24,.29,.32,.35,.15,.12,.23,.41
1982,.05,.15,.03,.15,.18,.05,.14,.03,.14,.13,.18,.42
1983,.53,.43,.41,.27,.34,.23,.18,.36,.37,.17,.30,.17
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.13,.06,-.04
1985,.22,-.04,.17,.12,.14,.15,.04,.17,.13,.12,.05,.14
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13
1987,.32,.43,.18,.24,.25,.35,.40,.25,.35,.33,.29,.46
1988,.56,.44,.51,.42,.44,.40,.33,.39,.37,.38,.12,.29
1989,.12,.30,.36,.29,.17,.15,.34,.33,.34,.29,.20,.37
1990,.41,.44,.80,.56,.45,.37,.46,.34,.23,.45,.46,.40
1991,.42,.49,.35,.51,.34,.53,.47,.39,.44,.29,.29,.32
1992,.47,.40,.48,.27,.31,.25,.08,.08,-.01,.06,.02,.21
1993,.34,.37,.36,.27,.28,.23,.25,.11,.11,.24,.03,.18
1994,.26,.02,.29,.41,.28,.43,.30,.21,.31,.42,.44,.38
1995,.52,.79,.46,.46,.27,.43,.45,.45,.33,.46,.44,.26
1996,.24,.46,.32,.33,.27,.25,.36,.48,.25,.22,.41,.37
1997,.33,.40,.52,.33,.34,.54,.34,.41,.52,.61,.64,.59
1998,.58,.88,.63,.63,.68,.77,.66,.65,.42,.42,.43,.54
1999,.48,.64,.32,.32,.26,.36,.38,.31,.39,.34,.37,.40
2000,.25,.56,.55,.56,.36,.40,.39,.42,.39,.27,.30,.28
2001,.45,.44,.55,.50,.57,.52,.59,.49,.51,.50,.72,.55
2002,.77,.78,.88,.58,.64,.53,.61,.53,.63,.54,.58,.44
2003,.74,.58,.60,.55,.60,.48,.58,.64,.62,.72,.53,.74
2004,.58,.72,.63,.61,.37,.44,.26,.45,.50,.61,.72,.50
2005,.74,.60,.74,.67,.63,.64,.61,.60,.71,.76,.74,.67
2006,.56,.73,.63,.46,.48,.66,.54,.70,.66,.69,.74,.79
2007,1.01,.70,.71,.76,.68,.61,.59,.60,.60,.58,.59,.49
2008,.30,.38,.75,.54,.50,.49,.60,.46,.61,.67,.69,.54
2009,.65,.52,.53,.61,.65,.64,.74,.69,.71,.65,.79,.67
2010,.75,.83,.92,.85,.75,.67,.63,.67,.63,.72,.81,.45
2011,.52,.48,.65,.64,.53,.62,.70,.75,.56,.65,.59,.60
2012,.47,.49,.57,.73,.78,.64,.58,.66,.72,.80,.78,.53
2013,.71,.62,.67,.53,.60,.69,.60,.70,.77,.69,.83,.70
2014,.76,.55,.78,.80,.86,.67,.58,.83,.87,.80,.67,.78
2015,.87,.90,.96,.75,.79,.81,.73,.79,.84,1.07,1.06,1.16
2016,1.18,1.36,1.35,1.09,.95,.81,.84,1.02,.90,.87,.92,.86
2017,1.02,1.13,1.16,.94,.91,.71,.82,.87,.75,.89,.88,.93
2018,.82,.85,.88,.88,.81,.76,.83,.78,.80,1.01,.83,.92
2019,.93,.94,1.16,1.00,.86,.90,.93,.95,.93,.99,.98,1.11
2020,1.17,1.24,1.18,1.12,.99,.91,.89,.86,.96,.87,1.09,.79
2021,.81,.64,.89,.75,.79,.84,.91,.81,.92,.98,.92,.87
2022,.91,.89,1.04,.83,.84,.92,.94,.94,.88,.96,.73,.80
2023,.88,.97,1.23,.99,.94,1.08,1.19,1.19,1.48,1.34,1.41,1.35
2024,1.24,1.43,1.39,1.31,1.16,1.24,1.20,1.30,1.23,1.33,1.31,
